the_geom,stop_code,OBJECTID,stop_id,stop_name,stop_desc,stop_lat,stop_lon,Source
POINT (-83.15651299999996 42.327192000000025),WYMNEB,1,15,Wyoming & Michigan,Wyoming St & Michigan Ave,42.327192,-83.156513,DDOT GTFS
POINT (-83.05762499999997 42.34730900000005),MKWDEB,2,21,Mack & Woodward,,42.347309,-83.057625,DDOT GTFS
POINT (-83.03035699999998 42.35798200000005),MKMIEB,3,22,MACK & MITCHELL,Mack Ave & Mitchell St,42.357982,-83.030357,DDOT GTFS
POINT (-83.02995299999998 42.35831200000007),MKMLWB,4,25,MACK & MC DOUGALL,Mack Ave & Mcdougall St,42.358312,-83.029953,DDOT GTFS
POINT (-83.02267099999995 42.33911900000004),LRCHEB,5,32,Larned & Chene,E Larned St & Chene St,42.339119,-83.022671,DDOT GTFS
POINT (-83.00762699999996 42.35545500000006),KCBVEB,6,33,Kercheval & East Grand Blvd.,Kercheval St & E Grand Blvd,42.355455,-83.007627,DDOT GTFS
POINT (-82.98776099999998 42.363555000000076),MCKCEB,7,34,McClellan & Kercheval,Mcclellan St & Kercheval St,42.363555,-82.987761,DDOT GTFS
POINT (-82.99682099999995 42.38261000000006),CDWRNB,8,35,Cadillac & Warren,Cadillac Ave & E Warren Ave,42.38261,-82.996821,DDOT GTFS
POINT (-83.00397999999996 42.39287100000007),CDHRNB,9,36,Cadillac & Harper,Cadillac Ave & Harper Ave,42.392871,-83.00398,DDOT GTFS
POINT (-82.98924899999997 42.39708800000005),HRCNEB,10,37,Harper & Conner,,42.397088,-82.989249,DDOT GTFS
POINT (-82.96463999999997 42.40456800000004),HRCMEB,11,38,Harper & Chalmers,Harper Ave & Chalmers St,42.404568,-82.96464,DDOT GTFS
POINT (-82.91083199999997 42.41675900000007),MRMKEB,12,40,Moross & Mack,Mack Ave & Moross Rd,42.416759,-82.910832,DDOT GTFS
POINT (-82.91159899999997 42.417467000000045),MRMKWB,13,41,Moross & Mack,Moross Rd & Mack Ave,42.417467,-82.911599,DDOT GTFS
POINT (-82.93284699999998 42.418675000000064),HRMREB,14,42,Harper & Morang,Chester St & Harper Ave,42.418675,-82.932847,DDOT GTFS
POINT (-82.95927099999994 42.42642700000005),KLSENB,15,43,Kelly & Seymour,Kelly Rd & Seymour St,42.426427,-82.959271,DDOT GTFS
POINT (-82.96496999999994 42.40464900000006),HRCMWB,16,44,Harper & Chalmers,Harper Ave & Chalmers St,42.404649,-82.96497,DDOT GTFS
POINT (-82.98929799999996 42.397106000000065),HRCNWB,17,45,Harper & Conner,,42.397106,-82.989298,DDOT GTFS
POINT (-83.00429699999995 42.39292500000005),CDHRSB,18,46,Cadillac & Harper,Cadillac Ave & Harper Ave,42.392925,-83.004297,DDOT GTFS
POINT (-82.99694399999998 42.38250300000004),CDWRSB,19,47,Cadillac & Warren,,42.382503,-82.996944,DDOT GTFS
POINT (-82.98403499999995 42.387241000000074),WRSJWB,20,48,Warren & St. Jean,E Warren Ave & Saint Jean St,42.387241,-82.984035,DDOT GTFS
POINT (-82.98811599999993 42.36334900000003),KCMCWB,21,49,Kercheval & McClellan,Kercheval St & Mcclellan St,42.363349,-82.988116,DDOT GTFS
POINT (-83.00762599999996 42.35558100000003),KCBVWB,22,50,Kercheval & East Grand Blvd.,,42.355581,-83.007626,DDOT GTFS
POINT (-83.02332999999999 42.33904800000005),LRCHWB,23,51,Larned & Chene,Larned St & Chene St,42.339048,-83.02333,DDOT GTFS
POINT (-83.11104799999998 42.38444500000003),LAWBEB,24,54,LaSalle - Webb,La Salle Blvd & Webb St,42.384445,-83.111048,DDOT GTFS
POINT (-83.08592299999998 42.38934500000005),TWWDEB,25,55,Trowbridge & Woodward,Trowbridge St & Calvert St,42.389345,-83.085923,DDOT GTFS
POINT (-83.05237899999997 42.402585000000045),CFCTEB,26,56,Caniff & Conant,Caniff St & Conant Ave,42.402585,-83.052379,DDOT GTFS
POINT (-83.02266399999996 42.39050000000003),VDMLNB,27,58,VAN DYKE & MILLER,Van Dyke St & Miller Rd,42.3905,-83.022664,DDOT GTFS
POINT (-83.00079299999999 42.40018200000003),FRGTEB,28,59,French Road & Gratiot,French Rd & Gratiot Ave,42.400182,-83.000793,DDOT GTFS
POINT (-82.99571399999996 42.406105000000025),EOGTEB,29,60,East Outer Drive & Gratiot,E Outer Dr & Gratiot Ave,42.406105,-82.995714,DDOT GTFS
POINT (-82.97085499999997 42.41462300000006),EOCMEB,30,61,East Outer Drive & Chalmers,E Outer Dr & Chalmers St,42.414623,-82.970855,DDOT GTFS
POINT (-82.96757199999996 42.44963500000006),8MGTEB,31,62,Eight Mile & Gratiot,E 8 Mile Rd & Gratiot Ave,42.449635,-82.967572,DDOT GTFS
POINT (-82.96821999999997 42.449798000000044),8MGTWB,32,63,Eight Mile & Gratiot,E 8 Mile Rd & Gratiot Ave,42.449798,-82.96822,DDOT GTFS
POINT (-82.97115999999994 42.414686000000074),EOCMWB,33,64,East Outer Drive & Chalmers,E Outer Dr,42.414686,-82.97116,DDOT GTFS
