FID,Route_Name,Route_Numb,Route_Dire,On_Street,At_Street,X,Y
0,LaSalle 25,0.000000000000000, ,Sixth Concession,Montgomery,-83.001764196699995,42.231449664599999
1,LaSalle 25,0.000000000000000, ,Heritage,Sixth Concession,-83.008535043300000,42.230435443899999
2,LaSalle 25,0.000000000000000, ,Heritage,Blackthorn,-83.009351377800002,42.231657964100002
3,LaSalle 25,0.000000000000000, ,Heritage,Rushwood,-83.012214086599997,42.234985123100003
4,LaSalle 25,0.000000000000000, ,Heritage,Rushwood,-83.013899563600006,42.237070710700003
5,LaSalle 25,0.000000000000000, ,Heritage,Sandwich West,-83.015378860499993,42.239135603699999
6,LaSalle 25,0.000000000000000, ,Sandwich West,Lovell,-83.016684678999994,42.239707598400003
7,LaSalle 25,0.000000000000000, ,Sandwich West,Durocher,-83.018092756300007,42.238306265600002
8,LaSalle 25,0.000000000000000, ,Sandwich West,D'Amore,-83.019260137200007,42.237220267300003
9,LaSalle 25,0.000000000000000, ,Sandwich West,Mary,-83.021463948299996,42.236223953200003
10,LaSalle 25,0.000000000000000, ,Sandwich West,Huron Church,-83.023954517899995,42.235996541299997
11,LaSalle 25,0.000000000000000, ,Huron Church,Skinner,-83.026487502999998,42.237693187300003
12,LaSalle 25,0.000000000000000, ,Huron Church,Disputed,-83.027603180100002,42.239431463400003
13,LaSalle 25,0.000000000000000, ,Normandy,Huron Church,-83.030575583599997,42.243770279899998
14,LaSalle 25,0.000000000000000, ,Normandy,Thirteenth,-83.033284607300004,42.243855887899997
15,LaSalle 25,0.000000000000000, ,Normandy,Tenth,-83.039586807299997,42.244066851600003
16,LaSalle 25,0.000000000000000, ,Normandy,Seventh,-83.046428704999997,42.244297389700002
17,LaSalle 25,0.000000000000000, ,Ellis,Normandy,-83.055467231899996,42.245292659100002
18,LaSalle 25,0.000000000000000, ,Delmar,Trinity,-83.057104593099993,42.247890290800001
19,LaSalle 25,0.000000000000000, ,Malden,Normandy,-83.060801700499994,42.245108768700000
20,LaSalle 25,0.000000000000000, ,Malden,Grillo,-83.060994015600002,42.242658744300002
21,LaSalle 25,0.000000000000000, ,Malden,Edgemore,-83.061136427899996,42.240065372200000
22,LaSalle 25,0.000000000000000, ,Malden,Stuart,-83.061250004800002,42.238479702100001
23,LaSalle 25,0.000000000000000, ,Malden,Valiant,-83.061341176400006,42.236975131900003
24,LaSalle 25,0.000000000000000, ,Malden,Reaume,-83.061483520099998,42.234829162099999
25,LaSalle 25,0.000000000000000, ,Laurier,Malden,-83.060849232799995,42.225938071599998
26,LaSalle 25,0.000000000000000, ,Laurier,Tacoma,-83.064159943199996,42.226807982099999
27,LaSalle 25,0.000000000000000, ,Laurier,Selkirk,-83.068721300600004,42.227942485800000
28,LaSalle 25,0.000000000000000, ,Laurier,First,-83.072938648800005,42.228997695200000
29,LaSalle 25,0.000000000000000, ,Laurier,Matchette,-83.076340969699999,42.229867648000003
30,LaSalle 25,0.000000000000000, ,Laurier,Marquette,-83.082399543500003,42.231395519300001
31,LaSalle 25,0.000000000000000, ,Laurier,Mayfair,-83.086665034600003,42.232473631300003
32,LaSalle 25,0.000000000000000, ,Laurier,Alfred,-83.089685995400004,42.233237146500002
33,LaSalle 25,0.000000000000000, ,Laurier,Hazel,-83.092871574599997,42.234038439199999
